"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"1","FDW58","OUT049",1746.11840820312
"2","FDW14","OUT017",1390.09350585938
"3","NCN55","OUT010",636.245422363281
"4","FDQ58","OUT017",2578.31567382812
"5","FDY38","OUT027",5722.19091796875
"6","FDH56","OUT046",1889.92565917969
"7","FDL48","OUT018",655.853637695312
"8","FDC48","OUT027",1862.30334472656
"9","FDN33","OUT045",1542.27331542969
"10","FDA36","OUT017",3153.27978515625
"11","FDT44","OUT017",1898.36572265625
"12","FDQ56","OUT045",1371.02514648438
"13","NCC54","OUT019",583.809936523438
"14","FDU11","OUT049",2039.296875
"15","DRL59","OUT013",756.29150390625
"16","FDM24","OUT049",2485.60546875
"17","FDI57","OUT045",3305.05322265625
"18","DRC12","OUT018",2890.99584960938
"19","NCM42","OUT027",2912.90087890625
"20","FDA46","OUT010",491.784240722656
"21","FDA31","OUT013",2626.15747070312
"22","NCJ31","OUT035",3681.63916015625
"23","FDG52","OUT046",774.192321777344
"24","NCL19","OUT019",453.773101806641
"25","FDS10","OUT035",3020.92358398438
"26","FDX22","OUT010",612.279113769531
"27","NCF19","OUT035",807.611694335938
"28","NCE06","OUT046",2485.60546875
"29","DRC27","OUT046",3748.384765625
"30","FDE21","OUT035",1953.76281738281
"31","NCR42","OUT019",84.6839218139648
"32","FDX51","OUT018",2846.64428710938
"33","NCR06","OUT018",537.651916503906
"34","FDU31","OUT027",5575.6865234375
"35","FDU59","OUT017",2713.44311523438
"36","FDR03","OUT027",5575.6865234375
"37","FDS49","OUT027",1847.95239257812
"38","FDD48","OUT010",409.104949951172
"39","NCF18","OUT017",3045.1640625
"40","NCD43","OUT027",2843.1298828125
"41","NCD54","OUT018",2192.19677734375
"42","FDY19","OUT010",383.279724121094
"43","NCY54","OUT017",2759.65966796875
"44","NCL19","OUT018",2029.98791503906
"45","FDP23","OUT010",586.453918457031
"46","FDC26","OUT013",1780.08447265625
"47","FDR14","OUT010",112.794326782227
"48","NCS41","OUT035",3228.22900390625
"49","FDF41","OUT035",3869.4326171875
"50","FDU34","OUT046",2024.07592773438
"51","DRH11","OUT046",925.6865234375
"52","FDM03","OUT013",1649.98559570312
"53","FDS31","OUT017",3021.79370117188
"54","FDJ20","OUT017",2047.73693847656
"55","FDV44","OUT027",5089.42822265625
"56","FDG02","OUT049",3179.26098632812
"57","FDA09","OUT013",2695.20654296875
"58","FDT04","OUT013",632.101013183594
"59","FDL58","OUT019",393.38232421875
"60","FDE52","OUT045",1380.78344726562
"61","FDW12","OUT035",2351.84448242188
"62","FDL51","OUT017",3497.37866210938
"63","NCY42","OUT027",3468.5693359375
"64","FDR07","OUT017",1603.44543457031
"65","FDN40","OUT045",2485.60546875
"66","FDB35","OUT027",2365.013671875
"67","FDA22","OUT017",2718.02612304688
"68","NCL06","OUT046",4234.6884765625
"69","FDI35","OUT013",2877.6533203125
"70","NCW42","OUT045",3572.58520507812
"71","NCX06","OUT049",2789.82690429688
"72","FDC37","OUT027",2843.1298828125
"73","FDZ14","OUT018",1796.36291503906
"74","DRG49","OUT049",4026.162109375
"75","NCG06","OUT045",3814.5517578125
"76","DRC36","OUT045",2790.69677734375
"77","FDV21","OUT019",368.615783691406
"78","FDB53","OUT046",2259.13427734375
"79","DRP47","OUT019",600.516845703125
"80","FDA14","OUT013",2162.94506835938
"81","DRC24","OUT035",2563.0947265625
"82","FDW21","OUT018",1517.02856445312
"83","NCH29","OUT046",1552.03161621094
"84","FDU58","OUT013",3019.77758789062
"85","FDY27","OUT017",2828.70874023438
"86","FDV56","OUT035",1769.77941894531
"87","FDT59","OUT046",3814.5517578125
"88","FDB23","OUT046",3944.36889648438
"89","FDR49","OUT045",774.192321777344
"90","FDB03","OUT010",526.122924804688
"91","FDN39","OUT045",2743.61059570312
"92","FDX02","OUT027",5716.0732421875
"93","FDQ16","OUT027",2828.77880859375
"94","FDU35","OUT018",1264.05078125
"95","NCT29","OUT013",1929.45568847656
"96","FDZ27","OUT046",783.950744628906
"97","FDN57","OUT017",2047.73693847656
"98","FDA03","OUT018",2029.85229492188
"99","FDZ36","OUT045",3103.79345703125
"100","NCU05","OUT013",1107.44970703125
"101","FDT39","OUT018",2271.68017578125
"102","FDK60","OUT017",1550.71325683594
"103","FDZ25","OUT017",2767.271484375
"104","FDG12","OUT046",2079.47314453125
"105","DRB01","OUT019",571.565856933594
"106","NCC43","OUT027",5722.19091796875
"107","FDX13","OUT019",548.01806640625
"108","FDM22","OUT049",902.740844726562
"109","FDJ03","OUT027",1365.87890625
"110","FDU14","OUT018",3335.86840820312
"111","FDB33","OUT010",393.759185791016
"112","FDP27","OUT046",3036.72412109375
"113","FDO38","OUT010",268.074035644531
"114","FDE28","OUT027",5722.19091796875
"115","FDO27","OUT035",1600.27099609375
"116","DRL23","OUT027",2843.1298828125
"117","FDS28","OUT046",925.6865234375
"118","FDX24","OUT013",1515.19079589844
"119","FDZ02","OUT035",1561.34167480469
"120","FDL46","OUT045",1874.70471191406
"121","FDS60","OUT027",4605.24951171875
"122","NCO06","OUT017",706.411437988281
"123","FDO16","OUT035",1404.44445800781
"124","FDC60","OUT049",1371.02514648438
"125","FDA48","OUT018",3244.0712890625
"126","FDZ36","OUT027",5346.10546875
"127","FDK27","OUT045",2079.47314453125
"128","FDW23","OUT018",596.560302734375
"129","FDM14","OUT018",1641.22607421875
"130","FDM14","OUT013",1674.94079589844
"131","FDW60","OUT018",2522.0732421875
"132","FDE21","OUT013",1820.26062011719
"133","NCM42","OUT035",1854.771484375
"134","FDY59","OUT010",315.050384521484
"135","DRI49","OUT049",1163.40625
"136","FDT28","OUT019",404.491638183594
"137","FDQ22","OUT018",553.592041015625
"138","FDR60","OUT049",1163.40625
"139","FDC50","OUT019",356.168365478516
"140","FDV24","OUT013",2375.76440429688
"141","DRF48","OUT010",623.673706054688
"142","FDQ47","OUT046",682.75048828125
"143","DRN36","OUT049",1522.45971679688
"144","NCY06","OUT035",2047.73693847656
"145","FDE52","OUT035",1404.44445800781
"146","NCB54","OUT045",2065.1220703125
"147","NCF31","OUT035",2563.96484375
"148","FDJ08","OUT027",5022.3583984375
"149","NCC07","OUT017",1769.77941894531
"150","NCD19","OUT027",1513.37097167969
"151","FDL46","OUT049",1914.880859375
"152","FDM20","OUT045",4002.34521484375
"153","NCI06","OUT010",386.522399902344
"154","DRM11","OUT035",4120.3623046875
"155","NCH07","OUT018",2270.82446289062
"156","FDS23","OUT013",1929.45568847656
"157","FDO49","OUT018",624.505798339844
"158","FDS35","OUT049",1096.35400390625
"159","DRK39","OUT045",1366.43249511719
"160","DRI39","OUT049",925.6865234375
"161","FDV04","OUT017",2509.2666015625
"162","NCN14","OUT035",3184.13500976562
"163","FDH08","OUT013",3835.55200195312
"164","FDS20","OUT046",3204.56811523438
"165","FDV40","OUT049",1146.88732910156
"166","FDZ48","OUT010",341.738555908203
"167","FDS24","OUT027",2454.47583007812
"168","FDK44","OUT049",2720.77758789062
"169","FDS48","OUT045",2539.43383789062
"170","FDK26","OUT010",558.853759765625
"171","FDD23","OUT045",3134.20166015625
"172","NCH54","OUT017",2509.2666015625
"173","NCP14","OUT010",272.091156005859
"174","FDM60","OUT010",34.0344505310059
"175","FDV24","OUT017",2509.2666015625
"176","FDH08","OUT018",3435.87426757812
"177","FDS12","OUT027",3398.51196289062
"178","FDR39","OUT027",4732.05078125
"179","FDP12","OUT027",1059.15466308594
"180","DRF60","OUT027",5758.89404296875
"181","FDC09","OUT035",1769.77941894531
"182","FDF50","OUT018",3244.0712890625
"183","FDG28","OUT035",4026.00610351562
"184","NCE19","OUT017",949.347473144531
"185","NCM53","OUT010",272.091156005859
"186","NCN18","OUT049",1900.75793457031
"187","FDF32","OUT035",3328.71411132812
"188","FDF11","OUT013",3840.13500976562
